Date,High,Low,Open,Close,VOLUME,Adj Close
14.11.2017,110686.5,108160.4,108952.2,110148.5,1117847000,110148.5
15.11.2017,110705.3,107710.3,109997.7,107716.5,1160497000,107716.5
16.11.2017,108928.2,106815.2,108028.8,106976.7,1056051000,106976.7
17.11.2017,107686.3,105624.3,107468.5,106239.5,946976400,106239.5
20.11.2017,106399.3,103600.6,106399.3,103911.9,959081100,103911.9
21.11.2017,105440.4,103016.5,103146.1,105267.8,1078835000,105267.8
22.11.2017,106145.1,103677.4,105356.7,105963.6,1123022000,105963.6
23.11.2017,106946.9,104657.3,106381.6,105026.1,904721700,105026.1
24.11.2017,105290.6,104304.9,104720.8,104539.4,741975700,104539.4
27.11.2017,105558.2,104066.9,104787.4,104759.7,937185200,104759.7
28.11.2017,106180.7,102068,104687.2,102068,1110175000,102068
29.11.2017,103089.6,101490.7,102291.5,102341.8,892130000,102341.8
30.11.2017,104260.6,102590.9,102995.1,103984.4,1079546000,103984.4
01.12.2017,104209.6,103095.1,103911.4,103559,740179700,103559
04.12.2017,105274.9,103350.6,103350.6,105214.9,772991000,105214.9
05.12.2017,106766,105220.6,105889,106260,1061759000,106260
06.12.2017,106725.2,105078.7,106431.8,105303.9,885722500,105303.9
07.12.2017,106786.1,105160.2,105580.7,106447.5,792538400,106447.5
08.12.2017,108182.2,106625.3,106819.1,107921.3,921003500,107921.3
11.12.2017,109341.7,108457.6,108788.5,109156.5,939856400,109156.5
12.12.2017,109463.7,108266.7,109084.8,109049.5,917079600,109049.5
13.12.2017,109592.6,107851.6,109281.1,108153.2,898894000,108153.2
14.12.2017,109958.5,108045.5,108971,109666.4,1091657000,109666.4
15.12.2017,110050.7,108927.2,109578.4,109330.2,849137500,109330.2
18.12.2017,110836.6,109786.4,109812.2,110247.9,917323800,110247.9
19.12.2017,111167.4,110177.1,110489.1,110177.1,1142967000,110177.1
20.12.2017,110785.7,109628.3,110233.7,110454.7,1076321000,110454.7
21.12.2017,111861.5,110785,110805,111272,1072046000,111272
22.12.2017,112156.7,111005.8,111893.9,111099.5,843456800,111099.5
25.12.2017,112005.2,111391.5,111705.2,111765,562188800,111765
26.12.2017,112261.1,111664.8,112130.6,112006.6,765942800,112006.6
27.12.2017,112226.1,111445.9,111862.2,112149.7,779981800,112149.7
28.12.2017,114542.4,112514.1,112514.1,114480.5,914149400,114480.5
29.12.2017,115840.2,114378.2,114708.4,115333,844265000,115333
02.01.2018,117724.2,115626.1,115734.5,117524.2,1586936000,117524.2
03.01.2018,118395.1,115780.2,117739,116052.1,1789081000,116052.1
04.01.2018,117258.9,115152.3,116068.6,115491.2,1445820000,115491.2
05.01.2018,117184.5,115950.7,116159.1,116637.9,1121168000,116637.9
08.01.2018,117783.7,116228.6,117514.3,116304.5,1087019000,116304.5
09.01.2018,116647.2,114942,116311.4,115022.8,1197176000,115022.8
10.01.2018,114856.6,112884.4,114812.3,113589.5,1281681000,113589.5
11.01.2018,114718.8,113057.6,114329.4,114718.8,1370482000,114718.8
12.01.2018,115718.7,114561.5,115062.8,114644.6,1205566000,114644.6
15.01.2018,115452.9,112159.2,114286.3,112159.2,1527831000,112159.2
16.01.2018,114475.5,111107.4,111708.4,114418.4,1721171000,114418.4
17.01.2018,116630.2,113705.8,114429.6,116592.5,1503204000,116592.5
18.01.2018,117758.9,116157.1,117145.9,116856,1297744000,116856
19.01.2018,117064.6,114926.1,116724.1,115147.1,1470207000,115147.1
22.01.2018,117246.2,115288.8,115639.2,117235.5,1237792000,117235.5
23.01.2018,118955.8,117495.3,117843.6,118400.1,1379068000,118400.1
24.01.2018,119673,118148.5,118477.3,119648.4,1403569000,119648.4
25.01.2018,120320.5,118587.2,119677,118604,1325509000,118604
26.01.2018,120701.9,118872,118947,120701.9,1263003000,120701.9
29.01.2018,121531.5,119398,121341.2,120845.3,1249039000,120845.3
30.01.2018,120948.6,119303.1,120214.1,119303.1,1342308000,119303.1
31.01.2018,120361.1,119235.6,119671.6,119528.8,1141782000,119528.8
01.02.2018,120894,118659.4,120016,119044.4,1127157000,119044.4
02.02.2018,119585.2,117792.7,119334.5,118119.4,851231500,118119.4
05.02.2018,118121.2,116587.7,117724.6,116852.7,937793800,116852.7
06.02.2018,115892.8,113875.7,114296.7,115457.3,1280397000,115457.3
07.02.2018,116515.7,115392.1,116252,115570.2,1218868000,115570.2
08.02.2018,116055.2,113891.8,115874.9,114263.5,1129548000,114263.5
09.02.2018,114212.1,112503.8,113146,113590.3,947529200,113590.3
12.02.2018,115415.5,114524.2,114593.1,114821.6,846851800,114821.6
13.02.2018,115670.1,114430.6,115317.8,114494.5,846975500,114494.5
14.02.2018,115606.5,113248.8,115328.9,113455,884865000,113455
15.02.2018,116298.6,114641.7,114641.7,116225.6,980708200,116225.6
16.02.2018,117517.6,115960.4,116822.9,116511,977492000,116511
19.02.2018,117522,115457.4,117074.7,115882,964725200,115882
20.02.2018,116926.8,113268,116287,113432.9,1116062000,113432.9
21.02.2018,116316,114748.6,115021.1,116316,918588400,116316
22.02.2018,116993.5,115408.5,116138.1,116840.9,916950000,116840.9
23.02.2018,117854.2,117033.9,117439.6,117521.5,766637600,117521.5
